1,The Declaration of Independence,Jefferson· Thomas
2,The King James Bible,Unknown
3,Alice's Adventures in Wonderland,Lewis Carroll
4,Through the Looking-Glass,Charles Dodgson· AKA Lewis Carroll
5,The Hunting of the Snark,Lewis Carroll
6,The 1990 CIA World Factbook,United States.  Central Intelligence Agency
7,Moby Dick,Herman Melville
8,Peter Pan,James M. Barrie
9,The Book Of Mormon,Anonymous
10,The Federalist Papers,Alexander Hamilton
11,The Song Of Hiawatha,Henry W. Longfellow
12,Unknown,United States
13,Paradise Lost,John Milton
14,John F. Kennedy's Inaugural Address,Kennedy· John F. (John Fitzgerald)
15,Unknown,Lincoln· Abraham
16,The United States' Constitution, Founding Fathers
17,Give Me Liberty or Give Me Death,Henry· Patrick
18,The Mayflower Compact,Unknown
19,Lincoln's Second Inaugural Address· March 4· 1865,Abraham Lincoln
20,Lincoln's First Inaugural Address· March 4· 1861,Abraham Lincoln